jerseyNumber,person.id,person.fullName,team_name,goals
10.0,8478421.0,A.J. Greer,Boston Bruins,0
5.0,8477932.0,Aaron Ekblad,Florida Panthers,0
27.0,8480871.0,Adam Boqvist,Columbus Blue Jackets,0
11.0,8484166.0,Adam Fantilli,Columbus Blue Jackets,0
23.0,8479323.0,Adam Fox,New York Rangers,0
50.0,8480874.0,Adam Ginning,Philadelphia Flyers,0
14.0,8474641.0,Adam Henrique,Anaheim Ducks,0
43.0,8483609.0,Adam Klapka,Calgary Flames,0
6.0,8476457.0,Adam Larsson,Seattle Kraken,0
17.0,8476392.0,Adam Lowry,Winnipeg Jets,0
3.0,8476917.0,Adam Pelech,New York Islanders,0
63.0,8480008.0,Adam Ruzicka,Calgary Flames,1
33.0,8478499.0,Adin Hill,Vegas Golden Knights,0
9.0,8477960.0,Adrian Kempe,Los Angeles Kings,3
43.0,8484263.0,Aidan Fulp,New York Islanders,0
40.0,8481033.0,Akira Schmid,New Jersey Devils,0
20.0,8481607.0,Albert Johansson,Detroit Red Wings,0
23.0,8474166.0,Alec Martinez,Vegas Golden Knights,0
75.0,8480831.0,Alec Regula,Boston Bruins,0
16.0,8477493.0,Aleksander Barkov,Florida Panthers,0
47.0,8482860.0,Aleksi Heimosalmi,Carolina Hurricanes,0
30.0,8478848.0,Ales Stezka,Seattle Kraken,0
12.0,8479718.0,Alex Barré-Boulet,Tampa Bay Lightning,1
74.0,8481595.0,Alex Beaucage,Colorado Avalanche,0
93.0,8479337.0,Alex DeBrincat,Detroit Red Wings,0
33.0,8471274.0,Alex Goligoski,Minnesota Wild,1
9.0,8480113.0,Alex Iafallo,Winnipeg Jets,0
15.0,8477021.0,Alex Kerfoot,Arizona Coyotes,0
17.0,8473986.0,Alex Killorn,Anaheim Ducks,0
78.0,8482155.0,Alex Laferriere,Los Angeles Kings,3
55.0,8482639.0,Alex Limoges,Washington Capitals,0
34.0,8479312.0,Alex Lyon,Detroit Red Wings,0
39.0,8477968.0,Alex Nedeljkovic,Pittsburgh Penguins,0
15.0,8481618.0,Alex Newhook,Montréal Canadiens,0
11.0,8479423.0,Alex Nylander,Pittsburgh Penguins,2
8.0,8471214.0,Alex Ovechkin,Washington Capitals,0
7.0,8474565.0,Alex Pietrangelo,Vegas Golden Knights,0
32.0,8471774.0,Alex Stalock,Anaheim Ducks,0
89.0,8477949.0,Alex Tuch,Buffalo Sabres,0
39.0,8481532.0,Alex Turcotte,Los Angeles Kings,0
72.0,8481568.0,Alex Vlasic,Chicago Blackhawks,0
21.0,8477505.0,Alex Wennberg,Seattle Kraken,0
40.0,8480382.0,Alexandar Georgiev,Colorado Avalanche,0
27.0,8480823.0,Alexander Alexeyev,Washington Capitals,0
94.0,8482222.0,Alexander Barabanov,San Jose Sharks,0
10.0,8482125.0,Alexander Holtz,New Jersey Devils,2
28.0,8475755.0,Alexander Petrovic,Dallas Stars,0
28.0,8481014.0,Alexander Romanov,New York Islanders,0
20.0,8480384.0,Alexander True,Florida Panthers,0
45.0,8478851.0,Alexandre Carrier,Nashville Predators,0
42.0,8480074.0,Alexandre Texier,Columbus Blue Jackets,1
13.0,8480281.0,Alexey Toropchenko,St. Louis Blues,1
13.0,8482109.0,Alexis Lafrenière,New York Rangers,0
21.0,8481656.0,Aliaksei Protas,Washington Capitals,0
27.0,8475314.0,Anders Lee,New York Islanders,2
95.0,8477444.0,Andre Burakovsky,Seattle Kraken,0
47.0,8481732.0,Andre Lee,Los Angeles Kings,0
89.0,8476960.0,Andreas Athanasiou,Chicago Blackhawks,1
5.0,8477971.0,Andreas Englund,Los Angeles Kings,0
18.0,8477341.0,Andreas Johnsson,Pittsburgh Penguins,0
96.0,8483808.0,Andrei Kuzmenko,Vancouver Canucks,1
37.0,8480830.0,Andrei Svechnikov,Carolina Hurricanes,0
88.0,8476883.0,Andrei Vasilevskiy,Tampa Bay Lightning,0
28.0,8475461.0,Andrew Agozzino,Anaheim Ducks,2
11.0,8471699.0,Andrew Cogliano,Colorado Avalanche,0
18.0,8477429.0,Andrew Copp,Detroit Red Wings,0
88.0,8478233.0,Andrew Mangiapane,Calgary Flames,2
2.0,8479369.0,Andrew Peeke,Columbus Blue Jackets,0
12.0,8479249.0,Andrew Poturalski,Seattle Kraken,0
46.0,8484468.0,Angus MacDonell,Dallas Stars,0
72.0,8478463.0,Anthony Beauvillier,Vancouver Canucks,0
71.0,8478519.0,Anthony Cirelli,Tampa Bay Lightning,2
10.0,8477407.0,Anthony Duclair,San Jose Sharks,0
39.0,8477511.0,Anthony Mantha,Washington Capitals,0
90.0,8478409.0,Anthony Richard,Boston Bruins,0
41.0,8476932.0,Anthony Stolarz,Florida Panthers,0
31.0,8476341.0,Anton Forsberg,Ottawa Senators,0
15.0,8482113.0,Anton Lundell,Florida Panthers,2
32.0,8477293.0,Antti Raanta,Carolina Hurricanes,0
24.0,8481587.0,Antti Tuomisto,Detroit Red Wings,1
84.0,8481615.0,Anttoni Honka,Carolina Hurricanes,0
11.0,8471685.0,Anze Kopitar,Los Angeles Kings,0
72.0,8482964.0,Arber Xhekaj,Montréal Canadiens,0
38.0,8480242.0,Arnaud Durandeau,New York Islanders,1
82.0,8482934.0,Artem Guryev,San Jose Sharks,0
2.0,8482245.0,Artem Zub,Ottawa Senators,0
10.0,8478550.0,Artemi Panarin,New York Rangers,0
34.0,8481560.0,Arthur Kaliyev,Los Angeles Kings,0
62.0,8477476.0,Artturi Lehkonen,Colorado Avalanche,0
40.0,8482821.0,Arvid Soderblom,Chicago Blackhawks,0
21.0,8478512.0,Austin Czarnik,Detroit Red Wings,1
34.0,8479318.0,Auston Matthews,Toronto Maple Leafs,0
85.0,8482993.0,Avery Hayes,Pittsburgh Penguins,0
71.0,8479536.0,Axel Jonsson-Fjallby,Winnipeg Jets,0
21.0,8476624.0,Barclay Goodrow,New York Rangers,1
29.0,8480849.0,Barrett Hayton,Arizona Coyotes,2
47.0,8479359.0,Beck Malenstyn,Washington Capitals,0
8.0,8475279.0,Ben Chiarot,Detroit Red Wings,0
6.0,8479416.0,Ben Gleason,Edmonton Oilers,0
5.0,8477433.0,Ben Harpur,New York Rangers,0
17.0,8477018.0,Ben Hutton,Vegas Golden Knights,1
59.0,8483570.0,Ben Meyers,Colorado Avalanche,0
50.0,8480870.0,Benoit-Olivier Groulx,Anaheim Ducks,1
6.0,8482399.0,Billy Sweezey,Columbus Blue Jackets,0
20.0,8476399.0,Blake Coleman,Calgary Flames,0
46.0,8481481.0,Blake Lizotte,Los Angeles Kings,0
85.0,8481677.0,Blake Murray,Carolina Hurricanes,0
17.0,8471218.0,Blake Wheeler,New York Rangers,1
14.0,8477500.0,Bo Horvat,New York Islanders,1
46.0,8481553.0,Bobby Brink,Philadelphia Flyers,2
74.0,8482259.0,Bobby McMann,Toronto Maple Leafs,0
14.0,8478147.0,Bokondji Imama,Ottawa Senators,0
38.0,8476432.0,Boone Jenner,Columbus Blue Jackets,1
14.0,8479383.0,Boris Katchouk,Chicago Blackhawks,0
4.0,8481524.0,Bowen Byram,Colorado Avalanche,0
45.0,8484172.0,Brad Gardiner,Dallas Stars,0
17.0,8476779.0,Brad Hunt,Colorado Avalanche,0
24.0,8474089.0,Brad Malone,Edmonton Oilers,1
63.0,8473419.0,Brad Marchand,Boston Bruins,0
4.0,8482073.0,Braden Schneider,New York Rangers,0
76.0,8476869.0,Brady Skjei,Carolina Hurricanes,1
7.0,8480801.0,Brady Tkachuk,Ottawa Senators,2
15.0,8482061.0,Brandon Biro,Buffalo Sabres,2
70.0,8483548.0,Brandon Bussi,Boston Bruins,0
25.0,8478443.0,Brandon Carlo,Boston Bruins,0
21.0,8479520.0,Brandon Duhaime,Minnesota Wild,0
38.0,8479542.0,Brandon Hagel,Tampa Bay Lightning,1
62.0,8477986.0,Brandon Montour,Florida Panthers,0
20.0,8476438.0,Brandon Saad,St. Louis Blues,0
13.0,8479293.0,Brandon Tanev,Seattle Kraken,0
92.0,8482730.0,Brandt Clarke,Los Angeles Kings,0
3.0,8475188.0,Brayden McNabb,Vegas Golden Knights,0
94.0,8481167.0,Brayden Pachal,Vegas Golden Knights,0
21.0,8478010.0,Brayden Point,Tampa Bay Lightning,0
10.0,8475170.0,Brayden Schenn,St. Louis Blues,2
