jersey,person.id,person.fullName,position,team_name,goals
10,8475170,Brayden Schenn,Center,St. Louis Blues,2
10,8476456,Jonathan Huberdeau,Center,Calgary Flames,2
10,8476925,Colton Sissons,Center,Nashville Predators,0
10,8477407,Anthony Duclair,Left Wing,San Jose Sharks,0
10,8478421,A.J. Greer,Left Wing,Boston Bruins,1
10,8478462,Nicolas Roy,Center,Vegas Golden Knights,0
10,8478550,Artemi Panarin,Left Wing,New York Rangers,0
10,8478585,Derek Ryan,Center,Edmonton Oilers,0
10,8480035,Henri Jokiharju,Defenseman,Buffalo Sabres,2
10,8480848,Ty Dellandrea,Center,Dallas Stars,0
10,8481601,Simon Holmstrom,Right Wing,New York Islanders,1
10,8481716,Dmitri Voronkov,Left Wing,Columbus Blue Jackets,0
10,8482055,Drew O'Connor,Left Wing,Pittsburgh Penguins,2
10,8482125,Alexander Holtz,Right Wing,New Jersey Devils,2
10,8482665,Matty Beniers,Center,Seattle Kraken,1
11,8471685,Anze Kopitar,Center,Los Angeles Kings,0
11,8471699,Andrew Cogliano,Center,Colorado Avalanche,0
11,8473533,Jordan Staal,Center,Carolina Hurricanes,0
11,8474150,Mikael Backlund,Center,Calgary Flames,2
11,8475848,Brendan Gallagher,Right Wing,Montréal Canadiens,0
11,8476822,Luke Glendening,Center,Tampa Bay Lightning,1
11,8477503,Max Domi,Center,Toronto Maple Leafs,2
11,8478439,Travis Konecny,Right Wing,Philadelphia Flyers,2
11,8479316,Luke Kunin,Center,San Jose Sharks,0
11,8479365,Trent Frederic,Center,Boston Bruins,0
11,8479390,Taylor Raddysh,Right Wing,Chicago Blackhawks,0
11,8479423,Alex Nylander,Left Wing,Pittsburgh Penguins,2
11,8481239,Samuel Fagemo,Left Wing,Nashville Predators,2
11,8481533,Trevor Zegras,Center,Anaheim Ducks,0
11,8482699,Dylan Guenther,Right Wing,Arizona Coyotes,1
11,8482702,Logan Stankoven,Center,Dallas Stars,2
11,8484166,Adam Fantilli,Center,Columbus Blue Jackets,1
12,8474009,Nick Bonino,Center,New York Rangers,0
12,8474031,Kevin Shattenkirk,Defenseman,Boston Bruins,0
12,8475763,Kevin Hayes,Right Wing,St. Louis Blues,0
12,8475793,Ryan Johansen,Center,Colorado Avalanche,1
12,8476889,Radek Faksa,Center,Dallas Stars,0
12,8478413,Jordan Greenway,Left Wing,Buffalo Sabres,0
12,8478424,Jansen Harkins,Center,Pittsburgh Penguins,2
12,8479675,Trevor Moore,Left Wing,Los Angeles Kings,1
12,8479718,Alex Barré-Boulet,Center,Tampa Bay Lightning,1
12,8480355,Mark Kastelic,Center,Ottawa Senators,0
12,8481557,Matt Boldy,Left Wing,Minnesota Wild,0
12,8481740,Tyce Thompson,Right Wing,New Jersey Devils,1
13,8475745,Charlie Coyle,Center,Boston Bruins,1
13,8476346,Johnny Gaudreau,Left Wing,Columbus Blue Jackets,2
13,8476994,Vinnie Hinostroza,Center,Pittsburgh Penguins,0
13,8477406,Mattias Janmark,Center,Edmonton Oilers,1
13,8477501,Valeri Nichushkin,Right Wing,Colorado Avalanche,0
13,8477933,Sam Reinhart,Center,Florida Panthers,0
13,8478445,Mathew Barzal,Center,New York Islanders,2
13,8478508,Yakov Trenin,Center,Nashville Predators,0
13,8479293,Brandon Tanev,Left Wing,Seattle Kraken,0
13,8480002,Nico Hischier,Center,New Jersey Devils,1
13,8480014,Gabriel Vilardi,Center,Winnipeg Jets,0
13,8480281,Alexey Toropchenko,Right Wing,St. Louis Blues,1
13,8480988,Riley Damiani,Center,Dallas Stars,0
13,8481751,Lukas Rousek,Right Wing,Buffalo Sabres,0
13,8482109,Alexis Lafrenière,Left Wing,New York Rangers,0
13,8484314,Jiri Smejkal,Left Wing,Ottawa Senators,1
14,8473994,Jamie Benn,Left Wing,Dallas Stars,0
14,8474641,Adam Henrique,Center,Anaheim Ducks,0
14,8474679,Gustav Nyquist,Center,Nashville Predators,0
14,8475218,Mattias Ekholm,Defenseman,Edmonton Oilers,0
14,8475780,Chris Wagner,Right Wing,Colorado Avalanche,0
14,8476461,Sean Couturier,Center,Philadelphia Flyers,0
14,8477500,Bo Horvat,Center,New York Islanders,1
14,8477952,Robby Fabbri,Center,Detroit Red Wings,2
14,8478147,Bokondji Imama,Left Wing,Ottawa Senators,0
14,8478493,Joel Eriksson Ek,Center,Minnesota Wild,0
