jersey_number,player_id,player_name,position,team_name,goals
93,8479337,Alex DeBrincat,Right Wing,Detroit Red Wings,1
9,8480113,Alex Iafallo,Left Wing,Winnipeg Jets,1
15,8481618,Alex Newhook,Center,Montréal Canadiens,2
13,8482109,Alexis Lafrenière,Left Wing,New York Rangers,1
88,8478233,Andrew Mangiapane,Left Wing,Calgary Flames,2
10,8478550,Artemi Panarin,Left Wing,New York Rangers,1
34,8479318,Auston Matthews,Center,Toronto Maple Leafs,3
76,8476869,Brady Skjei,Defenseman,Carolina Hurricanes,1
38,8479542,Brandon Hagel,Left Wing,Tampa Bay Lightning,1
94,8481167,Brayden Pachal,Defenseman,Vegas Golden Knights,1
10,8475170,Brayden Schenn,Center,St. Louis Blues,1
6,8478444,Brock Boeser,Right Wing,Vancouver Canucks,4
7,8482122,Brock Faber,Defenseman,Minnesota Wild,1
17,8475810,Bryan Rust,Right Wing,Pittsburgh Penguins,1
8,8480069,Cale Makar,Defenseman,Colorado Avalanche,1
89,8474715,Cam Atkinson,Right Wing,Philadelphia Flyers,1
91,8479336,Carl Grundstrom,Right Wing,Los Angeles Kings,1
20,8476905,Chandler Stephenson,Center,Vegas Golden Knights,1
20,8475184,Chris Kreider,Left Wing,New York Rangers,2
22,8481540,Cole Caufield,Right Wing,Montréal Canadiens,1
70,8480252,Cole Guttman,Center,Chicago Blackhawks,1
10,8476925,Colton Sissons,Center,Nashville Predators,1
98,8484144,Connor Bedard,Center,Chicago Blackhawks,1
8,8478856,Conor Garland,Right Wing,Vancouver Canucks,1
81,8478057,Dakota Joshua,Center,Vancouver Canucks,1
88,8478466,Daniel Sprong,Right Wing,Detroit Red Wings,1
88,8477956,David Pastrnak,Right Wing,Boston Bruins,2
7,8476462,Dougie Hamilton,Defenseman,New Jersey Devils,2
28,8477496,Elias Lindholm,Center,Calgary Flames,1
40,8480012,Elias Pettersson,Center,Vancouver Canucks,1
56,8475287,Erik Haula,Left Wing,New Jersey Devils,1
71,8471215,Evgeni Malkin,Center,Pittsburgh Penguins,1
18,8480821,Filip Zadina,Right Wing,San Jose Sharks,1
14,8474679,Gustav Nyquist,Center,Nashville Predators,1
49,8477964,Ivan Barbashev,Center,Vegas Golden Knights,1
9,8476468,J.T. Miller,Center,Vancouver Canucks,1
77,8482175,JJ Peterka,Right Wing,Buffalo Sabres,1
74,8476958,Jaccob Slavin,Defenseman,Carolina Hurricanes,1
9,8478403,Jack Eichel,Center,Vegas Golden Knights,1
86,8481559,Jack Hughes,Center,New Jersey Devils,2
8,8476885,Jacob Trouba,Defenseman,New York Rangers,1
22,8479402,Jake Bean,Defenseman,Columbus Blue Jackets,1
71,8478133,Jake Evans,Center,Montréal Canadiens,1
14,8473994,Jamie Benn,Left Wing,Dallas Stars,1
19,8477955,Jared McCann,Left Wing,Seattle Kraken,1
16,8477450,Jason Dickinson,Center,Chicago Blackhawks,1
21,8480027,Jason Robertson,Left Wing,Dallas Stars,1
63,8479407,Jesper Bratt,Left Wing,New Jersey Devils,2
56,8481058,Jesse Ylönen,Right Wing,Montréal Canadiens,1
14,8478493,Joel Eriksson Ek,Center,Minnesota Wild,1
86,8480797,Joel Farabee,Left Wing,Philadelphia Flyers,1
81,8476539,Jonathan Marchessault,Right Wing,Vegas Golden Knights,1
11,8473533,Jordan Staal,Center,Carolina Hurricanes,1
75,8481704,Juuso Parssinen,Center,Nashville Predators,2
81,8478398,Kyle Connor,Left Wing,Winnipeg Jets,1
29,8477934,Leon Draisaitl,Center,Edmonton Oilers,1
52,8477346,MacKenzie Weegar,Defenseman,Calgary Flames,1
55,8476460,Mark Scheifele,Center,Winnipeg Jets,1
21,8478472,Mathieu Joseph,Right Wing,Ottawa Senators,1
95,8475168,Matt Duchene,Center,Dallas Stars,1
24,8476856,Matt Dumba,Defenseman,Arizona Coyotes,1
22,8478020,Michael Amadio,Right Wing,Vegas Golden Knights,1
58,8478047,Michael Bunting,Left Wing,Carolina Hurricanes,1
96,8478420,Mikko Rantanen,Right Wing,Colorado Avalanche,2
28,8477425,Miles Wood,Left Wing,Colorado Avalanche,1
16,8478483,Mitchell Marner,Right Wing,Toronto Maple Leafs,1
29,8477492,Nathan MacKinnon,Center,Colorado Avalanche,1
20,8477426,Nicholas Paul,Left Wing,Tampa Bay Lightning,2
17,8475760,Nick Bjugstad,Center,Arizona Coyotes,1
17,8473422,Nick Foligno,Left Wing,Chicago Blackhawks,1
8,8477951,Nick Schmaltz,Center,Arizona Coyotes,2
14,8479980,Nicolas Hague,Defenseman,Vegas Golden Knights,1
10,8478462,Nicolas Roy,Center,Vegas Golden Knights,1
86,8476453,Nikita Kucherov,Right Wing,Tampa Bay Lightning,2
18,8479393,Noah Gregor,Center,Toronto Maple Leafs,1
27,8480448,Parker Kelly,Left Wing,Ottawa Senators,1
29,8479339,Patrik Laine,Left Wing,Columbus Blue Jackets,1
55,8482124,Quinton Byfield,Center,Los Angeles Kings,1
4,8478397,Rasmus Andersson,Defenseman,Calgary Flames,1
19,8475191,Reilly Smith,Right Wing,Pittsburgh Penguins,1
14,8477952,Robby Fabbri,Center,Detroit Red Wings,1
8,8477987,Ryan Donato,Center,Chicago Blackhawks,1
90,8475158,Ryan O'Reilly,Center,Nashville Predators,1
50,8480434,Sean Durzi,Defenseman,Arizona Coyotes,1
87,8471675,Sidney Crosby,Center,Pittsburgh Penguins,2
86,8476882,Teuvo Teravainen,Left Wing,Carolina Hurricanes,1
18,8482116,Tim Stützle,Center,Ottawa Senators,1
82,8478438,Tommy Novak,Center,Nashville Predators,1
11,8478439,Travis Konecny,Right Wing,Philadelphia Flyers,2
11,8479365,Trent Frederic,Center,Boston Bruins,1
75,8481006,Tyler Tucker,Defenseman,St. Louis Blues,1
88,8477939,William Nylander,Right Wing,Toronto Maple Leafs,1
