jersey_number,player_id,player_name,position,team_name,sortOrder,period,xCoord,yCoord,game_id
18.0,8478421.0,A.J. Greer,L,Calgary Flames,122,1,79.0,-1.0,2023020305
18.0,8478421.0,A.J. Greer,L,Calgary Flames,329,2,58.0,-26.0,2023020471
18.0,8478421.0,A.J. Greer,L,Calgary Flames,369,2,78.0,5.0,2023020129
18.0,8478421.0,A.J. Greer,L,Calgary Flames,477,2,-75.0,6.0,2023020207
18.0,8478421.0,A.J. Greer,L,Calgary Flames,595,3,-71.0,2.0,2023020325
18.0,8478421.0,A.J. Greer,L,Calgary Flames,714,3,-87.0,-11.0,2023020508
5.0,8477932.0,Aaron Ekblad,D,Florida Panthers,71,1,-36.0,40.0,2023020530
21.0,8477454.0,Adam Erne,L,Edmonton Oilers,549,3,-81.0,4.0,2023020501
11.0,8484166.0,Adam Fantilli,C,Columbus Blue Jackets,191,1,-89.0,11.0,2023020485
11.0,8484166.0,Adam Fantilli,C,Columbus Blue Jackets,209,1,68.0,17.0,2023020405
11.0,8484166.0,Adam Fantilli,C,Columbus Blue Jackets,240,1,81.0,5.0,2023020210
11.0,8484166.0,Adam Fantilli,C,Columbus Blue Jackets,349,2,-57.0,-12.0,2023020354
11.0,8484166.0,Adam Fantilli,C,Columbus Blue Jackets,423,2,79.0,-17.0,2023020397
11.0,8484166.0,Adam Fantilli,C,Columbus Blue Jackets,423,2,79.0,-17.0,2023020397
11.0,8484166.0,Adam Fantilli,C,Columbus Blue Jackets,423,2,79.0,-17.0,2023020397
11.0,8484166.0,Adam Fantilli,C,Columbus Blue Jackets,434,2,-62.0,17.0,2023020225
11.0,8484166.0,Adam Fantilli,C,Columbus Blue Jackets,579,3,-78.0,0.0,2023020397
11.0,8484166.0,Adam Fantilli,C,Columbus Blue Jackets,579,3,-78.0,0.0,2023020397
11.0,8484166.0,Adam Fantilli,C,Columbus Blue Jackets,579,3,-78.0,0.0,2023020397
11.0,8484166.0,Adam Fantilli,C,Columbus Blue Jackets,622,3,52.0,26.0,2023020084
11.0,8484166.0,Adam Fantilli,C,Columbus Blue Jackets,697,3,63.0,-9.0,2023020073
