jerseyNumber,person.id,person.fullName,position.name,team_name,player_id,x,y
10,8478421,A.J. Greer,Left Wing,Boston Bruins,,,
30,8477180,Aaron Dell,Goalie,San Jose Sharks,,,
5,8477932,Aaron Ekblad,Defenseman,Florida Panthers,,,
27,8482691,Aatu Raty,Center,New York Islanders,,,
27,8482691,Aatu Raty,Center,Vancouver Canucks,,,
53,8481550,Adam Beckman,Left Wing,Minnesota Wild,8481550,-81,-8
27,8480871,Adam Boqvist,Defenseman,Columbus Blue Jackets,,,
73,8477454,Adam Erne,Left Wing,Detroit Red Wings,8477454,79,-2
23,8479323,Adam Fox,Defenseman,New York Rangers,,,
50,8480874,Adam Ginning,Defenseman,Philadelphia Flyers,,,
14,8474641,Adam Henrique,Center,Anaheim Ducks,,,
6,8476457,Adam Larsson,Defenseman,Seattle Kraken,,,
17,8476392,Adam Lowry,Center,Winnipeg Jets,,,
3,8476917,Adam Pelech,Defenseman,New York Islanders,,,
57,8482197,Adam Raska,Right Wing,San Jose Sharks,,,
63,8480008,Adam Ruzicka,Center,Calgary Flames,,,
33,8478499,Adin Hill,Goalie,Vegas Golden Knights,,,
9,8477960,Adrian Kempe,Right Wing,Los Angeles Kings,8477960,,
9,8477960,Adrian Kempe,Right Wing,Los Angeles Kings,8477960,,
9,8477960,Adrian Kempe,Right Wing,Los Angeles Kings,8477960,,
25,8481683,Aidan McDonough,Left Wing,Vancouver Canucks,,,
40,8481033,Akira Schmid,Goalie,New Jersey Devils,,,
41,8484254,Akito Hirose,Defenseman,Vancouver Canucks,,,
23,8474166,Alec Martinez,Defenseman,Vegas Golden Knights,,,
75,8480831,Alec Regula,Defenseman,Chicago Blackhawks,,,
16,8477493,Aleksander Barkov,Center,Florida Panthers,,,
20,8480037,Aleksi Heponiemi,Center,Florida Panthers,,,
12,8479718,Alex Barré-Boulet,Center,Tampa Bay Lightning,8479718,53,-5
60,8475968,Alex Belzile,Right Wing,Montréal Canadiens,,,
48,8475163,Alex Chiasson,Right Wing,Detroit Red Wings,,,
93,8479337,Alex DeBrincat,Right Wing,Ottawa Senators,,,
17,8476851,Alex Galchenyuk,Center,Colorado Avalanche,,,
33,8471274,Alex Goligoski,Defenseman,Minnesota Wild,8471274,-62,-11
9,8480113,Alex Iafallo,Left Wing,Los Angeles Kings,,,
15,8477021,Alex Kerfoot,Center,Toronto Maple Leafs,,,
17,8473986,Alex Killorn,Center,Tampa Bay Lightning,,,
34,8479312,Alex Lyon,Goalie,Florida Panthers,,,
39,8477968,Alex Nedeljkovic,Goalie,Detroit Red Wings,,,
15,8481618,Alex Newhook,Center,Colorado Avalanche,,,
11,8479423,Alex Nylander,Left Wing,Pittsburgh Penguins,8479423,84,1
11,8479423,Alex Nylander,Left Wing,Pittsburgh Penguins,8479423,81,-4
8,8471214,Alex Ovechkin,Left Wing,Washington Capitals,,,
7,8474565,Alex Pietrangelo,Defenseman,Vegas Golden Knights,,,
32,8471774,Alex Stalock,Goalie,Chicago Blackhawks,,,
46,8482634,Alex Steeves,Center,Toronto Maple Leafs,8482634,63,12
89,8477949,Alex Tuch,Right Wing,Buffalo Sabres,,,
39,8481532,Alex Turcotte,Center,Los Angeles Kings,,,
72,8481568,Alex Vlasic,Defenseman,Chicago Blackhawks,,,
21,8477505,Alex Wennberg,Center,Seattle Kraken,,,
40,8480382,Alexandar Georgiev,Goalie,Colorado Avalanche,,,
27,8480823,Alexander Alexeyev,Defenseman,Washington Capitals,,,
94,8482222,Alexander Barabanov,Left Wing,San Jose Sharks,,,
2,8471303,Alexander Edler,Defenseman,Los Angeles Kings,,,
10,8482125,Alexander Holtz,Right Wing,New Jersey Devils,8482125,73,0
10,8482125,Alexander Holtz,Right Wing,New Jersey Devils,8482125,76,-2
28,8481014,Alexander Romanov,Defenseman,New York Islanders,,,
45,8478851,Alexandre Carrier,Defenseman,Nashville Predators,,,
13,8480281,Alexey Toropchenko,Right Wing,St. Louis Blues,8480281,,
13,8482109,Alexis Lafrenière,Left Wing,New York Rangers,,,
21,8481656,Aliaksei Protas,Center,Washington Capitals,,,
24,8478075,Anders Bjork,Left Wing,Buffalo Sabres,,,
24,8478075,Anders Bjork,Left Wing,Chicago Blackhawks,,,
27,8475314,Anders Lee,Left Wing,New York Islanders,8475314,34,31
95,8477444,Andre Burakovsky,Left Wing,Seattle Kraken,,,
89,8476960,Andreas Athanasiou,Center,Chicago Blackhawks,8476960,84,-3
5,8477971,Andreas Englund,Defenseman,Chicago Blackhawks,,,
5,8477971,Andreas Englund,Defenseman,Colorado Avalanche,,,
18,8477341,Andreas Johnsson,Left Wing,New Jersey Devils,,,
18,8477341,Andreas Johnsson,Left Wing,San Jose Sharks,,,
96,8483808,Andrei Kuzmenko,Left Wing,Vancouver Canucks,8483808,-59,-1
37,8480830,Andrei Svechnikov,Right Wing,Carolina Hurricanes,,,
88,8476883,Andrei Vasilevskiy,Goalie,Tampa Bay Lightning,,,
28,8475461,Andrew Agozzino,Left Wing,San Jose Sharks,8475461,-68,-1
28,8475461,Andrew Agozzino,Left Wing,San Jose Sharks,8475461,,
11,8471699,Andrew Cogliano,Center,Colorado Avalanche,,,
18,8477429,Andrew Copp,Center,Detroit Red Wings,,,
88,8478233,Andrew Mangiapane,Left Wing,Calgary Flames,8478233,-81,10
88,8478233,Andrew Mangiapane,Left Wing,Calgary Flames,8478233,73,1
2,8479369,Andrew Peeke,Defenseman,Columbus Blue Jackets,,,
18,8476404,Andy Andreoff,Center,New York Islanders,,,
72,8478463,Anthony Beauvillier,Left Wing,New York Islanders,,,
72,8478463,Anthony Beauvillier,Left Wing,Vancouver Canucks,,,
71,8478519,Anthony Cirelli,Center,Tampa Bay Lightning,8478519,80,3
71,8478519,Anthony Cirelli,Center,Tampa Bay Lightning,8478519,68,-30
10,8477407,Anthony Duclair,Left Wing,Florida Panthers,,,
39,8477511,Anthony Mantha,Right Wing,Washington Capitals,,,
90,8478409,Anthony Richard,Center,Montréal Canadiens,,,
41,8476932,Anthony Stolarz,Goalie,Anaheim Ducks,,,
25,8477320,Anton Blidh,Left Wing,Colorado Avalanche,,,
31,8476341,Anton Forsberg,Goalie,Ottawa Senators,,,
31,8471418,Anton Khudobin,Goalie,Chicago Blackhawks,,,
76,8483641,Anton Levtchi,Left Wing,Florida Panthers,,,
15,8482113,Anton Lundell,Center,Florida Panthers,8482113,,
15,8482113,Anton Lundell,Center,Florida Panthers,8482113,,
86,8471873,Anton Stralman,Defenseman,Boston Bruins,,,
32,8477293,Antti Raanta,Goalie,Carolina Hurricanes,,,
11,8471685,Anze Kopitar,Center,Los Angeles Kings,,,
72,8482964,Arber Xhekaj,Defenseman,Montréal Canadiens,,,
38,8480242,Arnaud Durandeau,Left Wing,New York Islanders,8480242,86,-7
2,8482245,Artem Zub,Defenseman,Ottawa Senators,,,
10,8478550,Artemi Panarin,Left Wing,New York Rangers,,,
34,8481560,Arthur Kaliyev,Right Wing,Los Angeles Kings,,,
62,8477476,Artturi Lehkonen,Left Wing,Colorado Avalanche,,,
31,8481668,Arturs Silovs,Goalie,Vancouver Canucks,,,
40,8482821,Arvid Soderblom,Goalie,Chicago Blackhawks,,,
